network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
1.0.0.0/24,2077456,2077456,,0,0
1.0.1.0/24,1814991,1814991,,0,0
1.0.2.0/23,1814991,1814991,,0,0
1.0.4.0/22,2077456,2077456,,0,0
1.0.8.0/21,1814991,1814991,,0,0
1.0.16.0/20,1861060,1861060,,0,0
1.0.32.0/19,1814991,1814991,,0,0
1.0.64.0/18,1861060,1861060,,0,0
1.0.128.0/17,1605651,1605651,,0,0
1.1.0.0/24,1814991,1814991,,0,0
1.1.1.0/24,2077456,2077456,,0,0
1.1.2.0/23,1814991,1814991,,0,0
1.1.4.0/22,1814991,1814991,,0,0
1.1.8.0/21,1814991,1814991,,0,0
1.1.16.0/20,1814991,1814991,,0,0
1.1.32.0/19,1814991,1814991,,0,0
1.1.64.0/18,1861060,1861060,,0,0
1.1.128.0/17,1605651,1605651,,0,0
1.2.0.0/23,1814991,1814991,,0,0
1.2.2.0/24,1814991,1814991,,0,0
1.2.3.0/24,2017370,2077456,,0,0
1.2.4.0/22,1814991,1814991,,0,0
1.2.8.0/24,1814991,1814991,,0,0
1.2.9.0/24,2017370,1814991,,0,0
1.2.10.0/23,1814991,1814991,,0,0
1.2.12.0/22,1814991,1814991,,0,0
1.2.16.0/20,1814991,1814991,,0,0
1.2.32.0/19,1814991,1814991,,0,0
1.2.64.0/18,1814991,1814991,,0,0
1.2.128.0/17,1605651,1605651,,0,0
1.3.0.0/16,1814991,1814991,,0,0
1.4.0.0/24,2077456,2077456,,0,0
1.4.1.0/24,1814991,1814991,,0,0
1.4.2.0/23,1814991,1814991,,0,0
1.4.4.0/22,1814991,1814991,,0,0
1.4.8.0/24,1814991,1814991,,0,0
1.4.9.0/24,2017370,1814991,,0,0
1.4.10.0/23,1814991,1814991,,0,0
1.4.12.0/22,1814991,1814991,,0,0
1.4.16.0/20,1814991,1814991,,0,0
1.4.32.0/19,1814991,1814991,,0,0
1.4.64.0/18,1814991,1814991,,0,0
1.4.128.0/17,1605651,1605651,,0,0
1.5.0.0/16,1861060,1861060,,0,0
1.6.0.0/15,1269750,1269750,,0,0
1.8.0.0/16,1814991,1814991,,0,0
1.9.0.0/16,1733045,1733045,,0,0
1.10.0.0/21,1814991,1814991,,0,0
1.10.8.0/23,1814991,1814991,,0,0
1.10.10.0/24,2077456,2077456,,0,0
1.10.11.0/24,1814991,1814991,,0,0
1.10.12.0/22,1814991,1814991,,0,0
1.10.16.0/20,1814991,1814991,,0,0
1.10.32.0/19,1814991,1814991,,0,0
1.10.64.0/18,1814991,1814991,,0,0
1.10.128.0/17,1605651,1605651,,0,0
1.11.0.0/16,1835841,1835841,,0,0
1.12.0.0/14,1814991,1814991,,0,0
1.16.0.0/14,1835841,1835841,,0,0
1.20.0.0/16,1605651,1605651,,0,0
1.21.0.0/16,1861060,1861060,,0,0
1.22.0.0/15,1269750,1269750,,0,0
1.24.0.0/13,1814991,1814991,,0,0
1.32.0.0/17,1733045,1733045,,0,0
1.32.128.0/18,1880251,1880251,,0,0
1.32.192.0/23,1819730,1819730,,0,0
1.32.194.0/24,1668284,1819730,,0,0
1.32.195.0/24,1819730,1819730,,0,0
1.32.196.0/24,1819730,1819730,,0,0
1.32.197.0/24,1668284,1819730,,0,0
1.32.198.0/23,1819730,1819730,,0,0
1.32.200.0/23,1880251,1880251,,0,0
1.32.202.0/25,1668284,1880251,,0,0
1.32.202.128/25,1880251,1880251,,0,0
1.32.203.0/25,1668284,1880251,,0,0
1.32.203.128/25,1880251,1880251,,0,0
1.32.204.0/25,1668284,1880251,,0,0
1.32.204.128/25,1880251,1880251,,0,0
1.32.205.0/24,1819730,1880251,,0,0
1.32.206.0/23,1880251,1880251,,0,0
1.32.208.0/20,1880251,1880251,,0,0
1.32.224.0/21,1880251,1880251,,0,0
1.32.232.0/21,6252001,6252001,,0,0
1.32.240.0/21,1880251,1880251,,0,0
1.32.248.0/22,1880251,1880251,,0,0
1.32.252.0/24,1831722,1880251,,0,0
1.32.253.0/24,1880251,1880251,,0,0
1.32.254.0/23,1880251,1880251,,0,0
1.33.0.0/16,1861060,1861060,,0,0
1.34.0.0/32,1814991,1668284,,0,0
1.34.0.1/32,1668284,1668284,,0,0
1.34.0.2/31,1668284,1668284,,0,0
